,age,marital,education,default,balance,loan,day,month,duration,campaign,pdays,previous,job,housing
0,45,1,1,0,315,0,30,6,103,1,-1,0,11,1
1,43,1,3,0,13342,0,18,11,465,1,-1,0,6,1
2,24,1,1,0,-254,1,27,5,290,2,-1,0,8,1
3,35,2,1,0,275,1,10,7,144,5,-1,0,8,0
4,59,1,1,0,5706,0,25,7,471,2,-1,0,10,1
5,52,1,1,0,-888,0,16,7,135,1,-1,0,12,0
6,34,1,1,0,2211,0,8,5,149,1,-1,0,12,0
7,54,1,2,0,781,0,9,5,103,2,-1,0,8,1
8,55,1,1,0,204,0,14,7,455,13,-1,0,6,0
9,56,2,3,0,401,0,20,11,26,1,-1,0,11,1
10,77,1,3,0,0,0,16,10,847,1,60,1,10,0
11,33,3,1,0,1279,0,18,5,239,2,349,3,11,1
12,36,3,3,0,490,0,28,8,207,8,98,1,4,0
13,37,1,1,0,4760,0,20,11,187,2,-1,0,12,1
14,30,1,1,0,501,1,27,5,514,1,-1,0,8,1
15,29,1,1,0,3,0,10,7,183,1,-1,0,12,1
16,31,2,1,0,1890,0,21,7,588,1,-1,0,1,1
17,50,1,1,0,841,0,29,5,54,2,-1,0,11,1
18,61,1,3,0,997,0,10,3,106,1,-1,0,4,0
19,51,1,1,0,-13,0,13,5,361,1,364,1,3,1
20,35,1,3,0,20,1,17,7,505,3,-1,0,5,1
21,43,1,1,0,275,0,25,8,69,6,-1,0,11,0
22,40,1,1,0,260,0,19,11,52,1,152,6,7,0
23,33,3,3,0,-53,0,29,1,617,2,-1,0,4,0
24,54,1,1,0,153,1,26,5,74,1,-1,0,10,1
25,33,1,1,0,95,0,30,4,335,1,-1,0,1,1
26,31,3,1,0,5527,0,21,5,132,1,-1,0,1,1
27,47,1,2,0,214,1,9,6,168,1,-1,0,8,1
28,26,3,2,0,-887,0,18,5,827,2,-1,0,8,1
29,43,1,2,0,2567,0,14,5,109,1,360,2,12,1
30,32,1,1,0,782,0,26,5,116,4,-1,0,11,1
